Date_Time,Type,MMSI,IMO,CallSign,Name,TypeOfShipAndCargoType,DimensionToBow,DimensionToStern,DimensionToPort,DimensionToStarboard,TypeOfElectronicPositionFixingDevice,ETAMonthUTC,ETADayUTC,ETAHourUTC,ETAMinuteUTC,Destination,
2023-05-25 10:23:46.549976,5,416467000,9462706,'BLHM','YM UBIQUITY',<ShipType.Cargo_HazardousCategory_D: 74>,241,92,16,27,5,27,5,30,13.9,'INNSA>INPAV',
2023-05-25 10:23:50.705537,5,235808000,9169615,'M195','M195',<ShipType.MilitaryOps: 35>,221,56,26,24,10,22,17,30,8,'INALA',
2023-05-25 10:24:21.532265,5,36694,0,'VT-GVT','SAR AIRCRAFT VT-GVT',<ShipType.NotAvailable: 0>,0,0,0,0,1,1,0,26,0,'',
2023-05-25 10:24:24.541953,5,419079600,9475325,'AUXL','IVY',<ShipType.Tug: 52>,12,20,6,3,5,19,6,0,3.4,'MUMBAI',
2023-05-25 10:25:06.757999,5,374475000,9863857,'3EGN2','EVA LONDON',<ShipType.Cargo: 70>,181,19,23,9,5,25,2,0,10.7,'IN KRN',
2023-05-25 10:25:25.216259,5,36703,0,'VT-HLT','VT-HLT',<ShipType.OtherType_NoAdditionalInformation: 99>,9,9,9,9,0,0,24,60,0,'',
2023-05-25 10:25:47.134815,5,419000372,9386134,'AVOD','CHANDRA SUN',<ShipType.Towing_LengthOver200: 32>,10,22,3,7,5,12,15,0,3,'MUMBAI',
2023-05-25 10:25:52.844084,5,518998272,9422847,'E5U4252','GLOBAL EAGLE',<ShipType.Tanker_HazardousCategory_D: 84>,89,21,9,9,5,26,11,45,5.8,'JNPT MUMBAI',
2023-05-25 10:25:59.163480,5,205373000,9659115,'ONHU','WARINSART',<ShipType.Tanker: 80>,138,36,7,23,5,30,14,0,6.9,'IN NSA  >>  AE RWP',
2023-05-25 10:26:52.438239,5,419172000,9129524,'VVJO','MV.GURU PRASAD',<ShipType.Cargo: 70>,60,19,7,8,5,27,2,0,3.4,'MUMBAI',
2023-05-25 10:27:16.605874,5,352823000,9414967,'3ENU8','GENIUS ACE',<ShipType.Cargo: 70>,128,19,17,8,5,26,17,0,8,'MUMBAI',
2023-05-25 10:27:30.205066,5,273399650,9826160,'UBZP4','WENNA',<ShipType.Tug: 52>,12,28,7,7,5,16,10,30,2.2,'MUMBAI',
2023-05-25 10:27:34.014815,5,636021344,9905320,'5LDM9','AFRICA',<ShipType.Tanker: 80>,229,47,29,19,5,24,12,30,15.7,'MUMBAI INDIA',
2023-05-25 10:27:48.093547,5,419065300,9412256,'AUOV','CANARA JOG',<ShipType.Tug: 52>,18,18,6,4,4,25,19,0,3.9,'MUMBAI',
2023-05-25 10:28:06.601319,5,538009800,9388792,'V7A5176','BEKS SWAN',<ShipType.Tanker_HazardousCategory_A: 81>,202,43,17,25,5,16,7,0,10.8,'MUMBAI',
2023-05-25 10:28:28.259846,5,212531000,9673654,'5BDV4','NORDPANTHER',<ShipType.Cargo_HazardousCategory_A: 71>,157,13,15,13,5,26,3,30,6.8,'NHAVASHEVA JNCT',
2023-05-25 10:28:39.218272,5,538004002,9490301,'V7UF2','FUJI GALAXY',<ShipType.Tanker: 80>,130,29,21,6,5,25,1,30,9.1,'INBOM',
2023-05-25 10:28:48.897354,5,419001664,9247209,'VTLS','ROSE GAS',<ShipType.Tanker: 80>,138,36,18,10,5,16,13,30,8.6,'JNPT,
2023-05-25 10:30:08.899845,5,405000305,9238284,'S2BG3','B LPG CHALLENGER',<ShipType.Tanker_HazardousCategory_A: 81>,191,36,15,21,5,24,7,30,8.2,'IN VTZ> IN BOM',
2023-05-25 10:30:12.919567,5,419001116,9686948,'AWPA','OCEAN TURQUOISE',<ShipType.OtherType: 90>,23,60,11,9,5,24,6,30,5.4,'BFL',
2023-05-25 10:30:14.839404,5,419663000,9385518,'AUMQ','KAMET',<ShipType.OtherType: 90>,15,57,8,8,5,21,4,0,4,'BASSEIN FIELD',
2023-05-25 10:30:31.027888,5,419779000,9524918,'AUZY','SCI MUKTA',<ShipType.NotAvailable: 0>,12,52,4,11,5,18,6,0,5,'MUMBAI',
2023-05-25 10:30:51.005905,5,419001125,9165906,'AWPI','HALANI 6',<ShipType.OtherType: 90>,15,52,7,9,12,23,11,0,3.8,'MUMBAI PNV',
2023-05-25 10:30:55.565650,5,441708000,9626015,'D7PB','PAN BONITA',<ShipType.Cargo: 70>,157,32,7,23,6,24,6,0,10.5,'INBOM',
2023-05-25 10:31:04.864846,5,636091959,9460356,'A8UX4','MSC SAVONA',<ShipType.Cargo_HazardousCategory_A: 71>,142,224,28,23,5,29,5,30,13.8,'INNSA > INMUN',
2023-05-25 10:31:12.654066,5,419001230,9785586,'AWTI','ASL ABABEEL',<ShipType.OtherType: 90>,21,47,10,8,5,1,3,45,4.6,'NHAVA',
2023-05-25 10:31:20.843157,5,419566000,9333515,'AUJR','MPV PSV1',<ShipType.Cargo: 70>,15,52,6,10,5,26,4,0,5,'NHAVA',
2023-05-25 10:31:21.433123,5,419001665,9891074,'VTLY','JSW MANIKGAD',<ShipType.Cargo: 70>,112,10,8,12,4,26,1,0,4.9,'DHARAMTAR',
2023-05-25 10:31:44.091142,5,215209000,9205940,'9HGO7','MV SEAVENUS',<ShipType.Cargo: 70>,163,27,18,14,5,16,6,30,8.4,'MUMBAI,
2023-05-25 10:31:45.610947,5,419001795,9326598,'VTSI','GREEN ASHA',<ShipType.Tanker: 80>,138,37,20,8,5,23,4,0,9.8,'JNPT_INDIA',
2023-05-25 10:31:55.989915,5,432729000,9426362,'7JGF','DAEDALUS LEADER',<ShipType.Cargo_NoAdditionalInformation: 79>,21,179,8,24,5,25,8,0,8.8,'IN BOM',
2023-05-25 10:31:56.899833,5,355187000,9725586,'3EOR','BULK CASTOR',<ShipType.Cargo: 70>,170,30,24,12,5,21,19,30,11.6,'IN BOM',
2023-05-25 10:31:57.299797,5,205373000,9659115,'ONHU','WARINSART',<ShipType.Tanker: 80>,138,36,7,23,5,30,14,0,6.9,'IN NSA  >>  AE RWP',
2023-05-25 10:32:10.818574,5,419001526,9892327,'VTGC','JSW SURYAGAD',<ShipType.Cargo: 70>,107,15,4,16,5,26,22,0,3.2,'JAIGARH',
2023-05-25 10:32:13.318462,5,538007142,9503287,'V7OQ9','TRISTAR PROSPERITY',<ShipType.Cargo: 70>,162,27,26,6,5,28,1,30,6.8,'MINA SAQR',
2023-05-25 10:32:16.498146,5,538004297,9625815,'V7WG8','BEKS CENK',<ShipType.Cargo: 70>,161,29,13,19,5,17,18,0,11.8,'MUMBAI',
2023-05-25 10:32:39.936394,5,419001637,8479929,'VTKV','BW PINE',<ShipType.Tanker_NoAdditionalInformation: 89>,187,39,12,25,5,17,2,30,10.7,'IN BOM',
2023-05-25 10:32:44.656009,5,355098000,9145798,'3FBK7','GLOBAL HARVEST',<ShipType.Cargo: 70>,134,20,13,13,5,14,5,30,8.5,'MUMBAI IN',
2023-05-25 10:32:44.656009,5,355098000,9145798,'3FBK7','GLOBAL HARVEST',<ShipType.Cargo: 70>,134,20,13,13,5,14,5,30,8.5,'MUMBAI IN',
2023-05-25 10:32:44.975958,5,6916,0,'','VT-PHW',<ShipType.OtherType_NoAdditionalInformation: 99>,9,9,9,9,0,0,24,60,0,'',
2023-05-25 10:32:51.185533,5,419172000,9129524,'VVJO','MV.GURU PRASAD',<ShipType.Cargo: 70>,60,19,7,8,5,27,2,0,3.4,'MUMBAI',
2023-05-25 10:32:52.335279,5,636022492,9573842,'5LJB3','GEOSTAR',<ShipType.Cargo: 70>,171,28,21,11,5,25,17,30,9.1,'IDDMT',
2023-05-25 10:33:15.002706,5,352001705,9952141,'3E2724','BOW CHEETAH',<ShipType.Tanker: 80>,128,28,16,9,5,26,8,0,10.5,'MY PGU>JNPT',
2023-05-25 10:33:21.772109,5,373383000,9642136,'3EWM','DIAMOND QUEEN',<ShipType.Cargo: 70>,171,28,11,21,5,12,10,0,10.3,'IN BOM',
